Mapunit Symbol,Mapunit Name,Mapunit Key,WindErodibilityGroup,pH,pctsand,pctsilt,watersupply
4485,"Dunday loamy fine sand, 0 to 3 percent slopes",1699161,134,6.7,85.2,8.8,14.08
4490,"Dunday loamy fine sand, 3 to 9 percent slopes",2219707,134,6.7,85.2,8.8,14.49
4504,"Dunday-Valentine loamy fine sands, 0 to 6 percent slopes",1699162,134,6.7,81,14.1,12.87
4549,"Elsmere complex, 0 to 6 percent slopes",1699164,134,6.5,94.4,2.1,14.35
4558,"Elsmere loamy fine sand, loamy substratum, 0 to 3 percent slopes",2219788,134,6.7,70.8,21.5,16.42
4687,"Marlake loamy fine sand, frequently ponded",1699207,86,5.8,90.1,4,11.78
4771,"Valentine-Mullen complex, 0 to 9 percent slopes",2219712,250,6.5,94.1,1.7,15.06
4781,"Valentine fine sand, 0 to 3 percent slopes",2738709,250,6.5,94.1,1.7,12.59
4791,"Valentine fine sand, 3 to 9 percent slopes",2738728,250,6.5,94.1,1.7,12.55
4807,"Valentine fine sand, rolling, 9 to 24 percent slopes",1699221,250,6.5,95.8,1.2,9.45
4810,"Valentine fine sand, rolling and hilly, 9 to 60 percent slopes",2738641,250,6.5,95.8,1.2,9.54
4814,"Valentine loamy fine sand, 0 to 3 percent slopes",1699222,134,6.7,93.6,2.1,13.33
4818,"Valentine loamy fine sand, 3 to 9 percent slopes",2219710,134,6.7,93.6,2.1,13.06
4834,"Valent loamy fine sand, rolling",1699223,134,7.2,94.5,2.3,10.84
4851,"Valentine-Birdwood complex, 9 to 80 percent slopes",2219711,250,6.5,95.4,1.5,12.55
4869,"Valentine-Ringgold complex, 0 to 9 percent slopes",2219713,134,6.7,93.6,2.1,18.19
5281,"Vetal fine sandy loam, 0 to 3 percent slopes",2219791,86,6.7,65.9,19.8,21
5283,"Vetal fine sandy loam, loamy substratum, 0 to 3 percent slopes",1699225,86,6.7,59.5,23.6,21.09
5288,"Vetal loamy fine sand, 0 to 3 percent slopes",2219742,134,7.2,73.4,15.3,18.86
5643,"Janise loam, occasionally flooded",2219727,86,8.5,65.4,22,17.79
5822,"Duroc loam, terrace, 0 to 1 percent slopes",2219724,56,7.2,24.7,53.4,24.18
5946,"Duroc silt loam, 1 to 3 percent slopes",2219725,56,7.2,9.9,68.1,24.49
5966,"Jayem fine sandy loam, 3 to 6 percent slopes",2219774,86,7.2,62.6,26.1,21
5976,"Jayem loamy very fine sand, 0 to 3 percent slopes",2219747,134,7.2,75.1,13.6,22.3
5979,"Jayem loamy very fine sand, 3 to 6 percent slopes",2219748,134,7.2,81.3,7.5,19.75
6095,"Sarben loamy fine sand, 3 to 6 percent slopes",2219736,134,6.7,67.9,18.7,21.31
6096,"Sarben loamy fine sand, 6 to 9 percent slopes",2219737,134,6.7,67.9,18.7,19.93
6097,"Sarben loamy fine sand, 9 to 20 percent slopes",2219738,134,6.7,67.9,18.7,19.64
6102,"Sarben loamy very fine sand, 0 to 3 percent slopes",2219753,134,6.7,83.8,2.4,20.87
6104,"Sarben loamy very fine sand, 3 to 6 percent slopes",2219754,134,6.7,83.8,2.4,20.87
6106,"Sarben loamy very fine sand, 6 to 9 percent slopes",2219755,134,6.7,83.8,2.4,20.87
6107,"Sarben loamy very fine sand, 9 to 20 percent slopes",2219756,134,6.7,83.8,2.4,20.87
6316,"Barney soils, frequently flooded",2219765,56,7.5,86.3,9.8,11.25
6328,"Lawet fine sandy loam, drained, occasionally flooded",1699197,86,7.9,64.2,20.4,23.92
6332,"Lawet loam, gravelly subsoil variant, occasionally flooded",1699202,86,8.2,66.1,22.6,18.21
6336,"Lawet silt loam, occasionally flooded",1699198,86,7.9,53.6,20.8,25.95
6337,"Lawet silt loam, drained, occasionally flooded",1699199,86,7.9,45.8,34.9,25.26
6339,"Lawet silt loam, saline-alkali, occasionally flooded",1699200,86,8.8,56.5,29.4,23.67
6340,"Lawet silt loam, saline-alkali, rarely flooded",2219789,86,8.8,60.8,27.7,25.23
6346,"Lawet-Saltine complex, occasionally flooded",1699201,86,8.8,56.5,29.4,25.38
8401,"Alda fine sandy loam, occasionally flooded",2219721,86,7.5,78.8,16.7,14.97
8406,"Alda soils, occasionally flooded",1699137,86,7.5,80.6,13.1,12.39
8432,"Cass fine sandy loam, calcareous variant, rarely flooded",1699148,86,8.2,66.1,18.7,23.6
8492,"Gothenburg loamy sand, occasionally flooded",2219726,134,7.5,91.5,6.7,5.62
8495,"Gothenburg soils, frequently flooded",1699166,86,7.5,93.8,3.8,9.36
8502,"Lex loam, rarely flooded",2219733,86,7.9,69.7,19.3,15.41
8503,"Lex loam, occasionally flooded",1699203,86,7.9,67.4,20.3,17.07
8505,"Lex loam, saline-alkali, occasionally flooded",1699204,86,8.5,61.4,25.4,17.13
8554,"Silver Creek silt loam, occasionally flooded",1699215,48,7.2,44.4,32.1,17.99
8555,"Silver Creek-Saltine complex, rarely flooded",1699216,48,7.2,38.8,35.6,25.01
8567,"Platte-Alda complex, occasionally flooded",1699211,86,7.5,85.8,10.2,11.07
8581,"Wann fine sandy loam, rarely flooded",1699227,86,7.5,65,23.7,19.8
8582,"Wann fine sandy loam, saline-alkali, occasionally flooded",1699228,86,8.2,65.7,25.5,23.76
8583,"Wann fine sandy loam, saline-alkali, rarely flooded",2219787,86,8.2,74.1,19.3,23.17
8585,"Wann loam, rarely flooded",1699229,56,7.5,60.2,26.6,21.6
8804,"Anselmo sandy loam, terrace, 0 to 3 percent slopes",1699139,86,6.5,75.5,13.5,18.22
8805,"Anselmo sandy loam, terrace, 3 to 6 percent slopes",1699140,86,6.5,75.8,13.3,18.06
8813,"Cozad loam, sandy subsoil variant",1699158,48,7.6,57,30.4,25.92
8815,"Cozad silt loam, 0 to 1 percent slopes",1699152,48,6.4,36.4,48.1,31.69
8816,"Cozad silt loam, 1 to 3 percent slopes",1699153,56,6.7,48.3,37.7,26.72
8817,"Cozad silt loam, 3 to 6 percent slopes",1699154,48,6.4,36.2,48.2,31.76
8820,"Cozad silt loam, saline-alkali, 0 to 1 percent slopes",1699155,56,8.2,47.6,35,32.06
8821,"Cozad silty clay loam, 0 to 1 percent slopes",1699157,48,6.4,33.2,49.9,31.95
8826,"Cozad silt loam, wet",1699156,56,7.6,53.6,34,27.01
8840,"Hall silt loam, 0 to 1 percent slopes",1699168,48,6.7,10.6,67.3,29.73
8841,"Hall silt loam, 1 to 3 percent slopes",1699169,48,6.7,10.6,67.3,29.73
8866,"Hord silt loam, 0 to 1 percent slopes, warm",2860515,48,6.8,21.8,58.7,31.83
8867,"Hord fine sandy loam, 1 to 3 percent slopes",1699177,86,6.5,40.4,41.4,29.25
8868,"Hord fine sandy loam, 3 to 6 percent slopes",1699178,86,6.5,36.8,44.6,29.55
8869,"Hord silt loam, 0 to 1 percent slopes",1699190,48,6.8,21.8,58.7,31.82
8870,"Hord silt loam, 1 to 3 percent slopes",1699193,48,6.8,21.8,58.7,31.89
8872,"Hord silt loam, 3 to 6 percent slopes",1699181,48,7.5,31.3,48.8,30.3
9001,"Anselmo fine sandy loam, 0 to 1 percent slopes",2219786,86,6.7,77,12.7,17.12
9002,"Anselmo fine sandy loam, 1 to 3 percent slopes",1699141,86,6.7,77,12.7,17.12
9004,"Anselmo fine sandy loam, 3 to 6 percent slopes",1699142,86,6.7,77,12.7,17.12
9005,"Anselmo fine sandy loam, 6 to 9 percent slopes",1699143,86,6.5,76,13.3,17.82
9024,"Anselmo-Holdrege fine sandy loams, 3 to 7 percent slopes",1699187,86,6.5,75.3,13.7,24.39
9900,"Fluvaquents, frequently flooded",1699230,0,7.5,12,61.5,30
9903,"Fluvaquents, sandy, frequently flooded",1699212,0,7.9,95.5,2,4.8
9906,"Fluvaquents, silty, frequently flooded",2219745,0,7.5,23.5,50,30
9966,Blown-out land,1699145,310,6.2,98.4,0.6,10.5
9970,Aquolls,1699196,0,0,0,0,0
9971,"Arents, earthen dam",1699138,0,0,0,0,0
9983,Gravel pit,1699167,0,0,0,0,0
9986,"Miscellaneous water, sewage lagoon",1699206,0,0,0,0,0
9999,Water,1699226,0,0,0,0,0
